NAME,DATE,TAVG,TMIN,TMAX
"CASPER MOUNTAIN WYOMING, WY US",1/5/2021,24.0,24.0,24.0
"WISCONSIN RAPIDS ALEXANDER FIELD, WI US",1/5/2021,37.44827586206897,37.44827586206897,37.44827586206897
"BLACK KNOB WASHINGTON, WA US",1/5/2021,41.0,41.0,41.0
"FORT BRAGG NORTH CAROLINA, NC US",1/5/2021,42.0,42.0,42.0
"COLORADO BEND TEXAS, TX US",1/5/2021,52.0,52.0,52.0
"MARTIN UNIVERSITY OF TN EXPERIMENT STATION, TN US",1/5/2021,37.44827586206897,37.44827586206897,37.44827586206897
"SHOCK IDAHO, ID US",1/5/2021,33.0,33.0,33.0
"ELMORE VERMONT, VT US",1/5/2021,26.0,26.0,26.0
"ALLEGHENY PENNSYLVANIA, PA US",1/5/2021,31.0,31.0,31.0
"COLORADO CITY COLORADO, CO US",1/5/2021,50.0,50.0,50.0
"VALENTINE NEBRASKA, NE US",1/5/2021,35.0,35.0,35.0
"SOMERSET KENTUCKY, KY US",1/5/2021,38.0,38.0,38.0
"KIAMICHI OKLAHOMA, OK US",1/5/2021,46.0,46.0,46.0
"HAVRE DE GRACE 4.0 WNW, MD US",1/5/2021,37.44827586206897,37.44827586206897,37.44827586206897
"UNIVERSITY OF HAWAII 713, HI US",1/5/2021,37.44827586206897,37.44827586206897,37.44827586206897
"MCFARLAND HILL MAINE, ME US",1/5/2021,29.0,29.0,29.0
"BIG OAKS INDIANA, IN US",1/5/2021,33.0,33.0,33.0
"CONCORD 3.8 SSE, NH US",1/5/2021,37.44827586206897,37.44827586206897,37.44827586206897
"GEORGETOWN DELAWARE COASTAL AIRPORT, DE US",1/5/2021,37.44827586206897,37.44827586206897,37.44827586206897
"EB FORSYTHE NEW JERSEY, NJ US",1/5/2021,38.0,38.0,38.0
"SAVRAW SOUTH CAROLINA, SC US",1/5/2021,49.0,49.0,49.0
"BUFFUMVILLE LAKE, MA US",1/5/2021,37.44827586206897,37.44827586206897,37.44827586206897
"RINCON ARIZONA, AZ US",1/5/2021,43.0,43.0,43.0
"FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT, AR US",1/5/2021,37.44827586206897,37.44827586206897,37.44827586206897
"NINIGRET RHODE ISLAND, RI US",1/5/2021,34.0,34.0,34.0
"MATTHEWS PALMER PLAYGROUND NEW YORK 6.8 NNW, NY US",1/5/2021,37.44827586206897,37.44827586206897,37.44827586206897
